date,product,region,sales,profit,quantity,discount,category,customer_segment
2023-01-05,Laptop A,North,12500,2500,2,0.05,Electronics,Corporate
2023-01-10,Phone X,East,8900,1780,5,0.08,Electronics,Consumer
2023-01-15,Laptop B,South,15800,3160,3,0.03,Electronics,Home Office
2023-01-20,Tablet S,West,6700,1005,4,0.10,Electronics,Consumer
2023-01-25,Headphones,North,2200,440,10,0.15,Accessories,Consumer
2023-02-03,Laptop A,East,25000,5000,4,0.02,Electronics,Corporate
2023-02-08,Phone X,South,17800,3560,10,0.05,Electronics,Consumer
2023-02-14,Laptop B,West,13600,2720,2,0.05,Electronics,Home Office
2023-02-20,Charger,North,1200,180,20,0.20,Accessories,Consumer
2023-02-28,Monitor 27,East,9800,1960,2,0.04,Electronics,Corporate
2023-03-05,Laptop A,South,18900,3780,3,0.04,Electronics,Home Office
2023-03-10,Phone X,West,22250,4450,12,0.03,Electronics,Consumer
2023-03-18,Keyboard,North,3500,525,14,0.12,Accessories,Corporate
2023-03-24,Laptop B,East,31600,6320,5,0.00,Electronics,Corporate
2023-04-01,Tablet S,South,5360,804,3,0.12,Electronics,Consumer
2023-04-08,Headphones,West,4400,880,20,0.10,Accessories,Consumer
2023-04-15,Phone X,North,31150,6230,17,0.02,Electronics,Home Office
2023-04-22,Laptop A,East,37500,7500,6,0.00,Electronics,Corporate
2023-04-30,Monitor 32,South,15600,3120,3,0.03,Electronics,Corporate
2023-05-06,Charger,West,1800,270,30,0.18,Accessories,Consumer
2023-05-14,Laptop B,North,47400,9480,8,0.00,Electronics,Corporate
2023-05-20,Phone X,East,35600,7120,19,0.00,Electronics,Corporate
2023-05-28,Tablet S,South,9380,1407,5,0.08,Electronics,Home Office
2023-06-03,Mouse,West,1500,225,30,0.15,Accessories,Consumer
2023-06-12,Laptop A,North,31250,6250,5,0.01,Electronics,Corporate
2023-06-18,Headphones,East,5500,1100,25,0.08,Accessories,Consumer
2023-06-25,Phone X,South,26700,5340,14,0.03,Electronics,Home Office
2023-07-04,Laptop B,West,28400,5680,4,0.04,Electronics,Corporate
2023-07-12,Keyboard,North,4200,630,17,0.10,Accessories,Corporate
2023-07-20,Monitor 27,East,14700,2940,3,0.03,Electronics,Home Office
2023-07-28,Laptop A,South,43750,8750,7,0.00,Electronics,Corporate
2023-08-05,Phone X,West,40050,8010,21,0.00,Electronics,Corporate
2023-08-14,Charger,North,2400,360,40,0.15,Accessories,Consumer
2023-08-22,Laptop B,East,55300,11060,9,0.00,Electronics,Corporate
2023-08-30,Tablet S,South,13400,2010,7,0.06,Electronics,Home Office
2023-09-08,Headphones,West,6600,1320,30,0.06,Accessories,Consumer
2023-09-16,Laptop A,North,37500,7500,6,0.00,Electronics,Corporate
2023-09-24,Phone X,East,44500,8900,23,0.00,Electronics,Corporate
2023-10-02,Monitor 32,South,20800,4160,4,0.02,Electronics,Corporate
2023-10-10,Mouse,West,2100,315,42,0.12,Accessories,Consumer
2023-10-18,Laptop B,North,63200,12640,10,0.00,Electronics,Corporate
2023-10-26,Keyboard,East,5600,840,22,0.08,Accessories,Corporate
2023-11-03,Phone X,South,48950,9790,25,0.00,Electronics,Corporate
2023-11-12,Laptop A,West,56250,11250,9,0.00,Electronics,Corporate
2023-11-20,Headphones,North,7700,1540,35,0.05,Accessories,Consumer
2023-11-28,Tablet S,East,16750,2512,9,0.05,Electronics,Home Office
2023-12-05,Charger,South,3000,450,50,0.12,Accessories,Consumer
2023-12-14,Laptop B,West,71100,14220,11,0.00,Electronics,Corporate
2023-12-22,Phone X,North,53400,10680,27,0.00,Electronics,Corporate
2023-12-30,Monitor 27,East,24500,4900,5,0.00,Electronics,Corporate
2024-01-08,Laptop A,South,50000,10000,8,0.00,Electronics,Corporate
2024-01-16,Tablet S,West,18760,2814,10,0.04,Electronics,Home Office
2024-01-24,Headphones,North,8800,1760,40,0.04,Accessories,Consumer
2024-02-01,Phone X,East,57850,11570,29,0.00,Electronics,Corporate
2024-02-10,Laptop B,South,69500,13900,11,0.00,Electronics,Corporate
2024-02-18,Keyboard,West,7000,1050,28,0.06,Accessories,Corporate
2024-02-26,Monitor 32,North,26000,5200,5,0.00,Electronics,Corporate
2024-03-05,Charger,East,3600,540,60,0.10,Accessories,Consumer
2024-03-14,Laptop A,South,62500,12500,10,0.00,Electronics,Corporate
2024-03-22,Phone X,West,62300,12460,31,0.00,Electronics,Corporate
2024-04-01,Mouse,North,2400,360,48,0.10,Accessories,Consumer
2024-04-09,Laptop B,East,79000,15800,12,0.00,Electronics,Corporate
2024-04-17,Headphones,South,9900,1980,45,0.03,Accessories,Consumer
2024-04-25,Tablet S,West,20120,3018,11,0.03,Electronics,Home Office
2024-05-04,Phone X,North,66750,13350,33,0.00,Electronics,Corporate
2024-05-12,Monitor 27,East,29400,5880,6,0.00,Electronics,Corporate
2024-05-20,Laptop A,South,68750,13750,11,0.00,Electronics,Corporate
2024-05-28,Keyboard,West,8400,1260,33,0.05,Accessories,Corporate
2024-06-06,Charger,North,4200,630,70,0.08,Accessories,Consumer
